event_id,category,type,URL,IP,domain,HASH,comment,attribute_tag
10549,Network activity,domain,,,android-apps.tech,,,
10549,Network activity,domain,,,apps-ios.net,,,
10549,Network activity,domain,,,ios-apps.store,,,
10549,Network activity,domain,,,sportsnewz.site,,,
10549,Network activity,domain,,,weathersite.online,,,
10549,Network activity,domain,,,charmander.xyz,,,
10549,Network activity,domain,,,ps1link.xyz,,,
10549,Network activity,domain,,,ps2link.xyz,,,
10549,Network activity,domain,,,alraeeenews.com,,,
10549,Network activity,domain,,,audit-pvv.com,,,
10549,Network activity,domain,,,icloudeu.com,,,
10549,Network activity,domain,,,iibt.xyz,,,
10549,Network activity,domain,,,connectivitychecker.com,,,
10549,Network activity,domain,,,almasryelyuom.com,,,
10549,Network activity,domain,,,inservices.digital,,,
10549,Network activity,domain,,,adibjan.net,,,
10549,Network activity,domain,,,sinai-new.com,,,
10549,Network activity,domain,,,link-protection.com,,,
10549,Network activity,domain,,,pastepast.net,,,
10549,Network activity,domain,,,getupdatesnow.xyz,,,
10549,Network activity,domain,,,updatingnews.xyz,,,
10549,Network activity,domain,,,nabd.site,,,
10549,Network activity,domain,,,sephoragroup.com,,,
10549,Network activity,domain,,,sitepref.xyz,,,
10549,Network activity,domain,,,updete.xyz,,,
10549,Network activity,domain,,,xnxx-hub.com,,,
10549,Network activity,domain,,,ckforward.one,,,
10549,Network activity,domain,,,contents-domain.com,,,
10549,Network activity,domain,,,syncservices.one,,,
10549,Network activity,domain,,,syncupdate.site,,,
10549,Network activity,domain,,,utube.digital,,,
10549,Network activity,domain,,,we-site.net,,,
10549,Network activity,domain,,,wtc3333.com,,,
10549,Network activity,domain,,,niceonesa.net,,,
10549,Network activity,domain,,,flexipagez.com,,,
10549,Network activity,domain,,,goldenscent.net,,,
10549,Network activity,domain,,,nemshi.net,,,
10549,Network activity,domain,,,shortxyz.com,,,
10549,Network activity,domain,,,mobnetlink1.com,,,
10549,Network activity,domain,,,safelyredirecting.com,,,
10549,Network activity,domain,,,nemshi-news.xyz,,,
10549,Network activity,domain,,,bitlly.live,,,
10549,Network activity,domain,,,tinyulrs.com,,,
10549,Network activity,domain,,,bit-li.ws,,,
10549,Network activity,domain,,,safelyredirecting.digital,,,
10549,Network activity,domain,,,advertsservices.com,,,
10549,Network activity,domain,,,tgrthgsrgwrthwrtgwr.xyz,,,
10549,Network activity,domain,,,lexpress-mg.xyz,,,
10549,Network activity,domain,,,linktothisa.xyz,,,
10549,Network activity,domain,,,makeitshort.xyz,,,
10549,Network activity,domain,,,shortely.xyz,,,
10549,Network activity,domain,,,sports-mdg.xyz,,,
10549,Network activity,domain,,,tribune-mg.xyz,,,
10549,Network activity,domain,,,mytrips.quest,,,
10549,Network activity,domain,,,actumali.org,,,
10549,Network activity,domain,,,bity.ws,,,
10549,Network activity,domain,,,carrefourmisr.com,,,
10549,Network activity,domain,,,distedc.com,,,
10549,Network activity,domain,,,eg-gov.org,,,
10549,Network activity,domain,,,forwardeshoptt.com,,,
10549,Network activity,domain,,,guardian-tt.me,,,
10549,Network activity,domain,,,ikea-egypt.net,,,
10549,Network activity,domain,,,instegram.co,,,
10549,Network activity,domain,,,lnkedin.org,,,
10549,Network activity,domain,,,niceonase.com,,,
10549,Network activity,domain,,,orangegypt.co,,,
10549,Network activity,domain,,,politique-koaci.info,,,
10549,Network activity,domain,,,qwxzyl.com,,,
10549,Network activity,domain,,,teslal.shop,,,
